宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷,宗谷
宗谷岬,宗谷岬,稚内,稚内,礼文,礼文,浜鬼志別,浜鬼志別,沼川,沼川,沓形,沓形,豊富,豊富,浜頓別,浜頓別,中頓別,中頓別,北見枝幸,北見枝幸,歌登,歌登
平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm)
平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm),平年値(℃),平年値(mm)
-4.5,23.5,-4.3,84.6,-4.6,73.4,-5.9,61.1,-6.9,89.2,-4.0,46.4,-6.1,65.2,-6.3,62.1,-8.4,92.4,-5.5,75.6,-8.2,98.3
-4.6,18.4,-4.3,60.6,-4.3,51.6,-6.0,42.7,-6.9,66.5,-3.8,33.3,-6.1,48.0,-6.3,46.7,-8.5,66.3,-5.4,56.5,-8.2,67.3
-1.1,21.5,-0.6,55.1,-0.4,44.1,-2.1,45.1,-2.5,59.0,-0.3,34.8,-1.9,46.5,-2.0,50.2,-3.2,72.2,-1.5,64.8,-2.9,71.0
3.9,31.0,4.5,50.3,4.1,49.2,3.5,42.7,3.5,52.5,4.6,41.2,4.1,46.6,4.0,47.6,3.5,56.7,4.3,56.4,3.6,55.5
8.2,58.0,9.1,68.1,8.5,79.7,8.2,62.5,8.9,66.1,9.6,68.4,9.6,61.8,9.2,61.0,9.7,68.4,9.1,69.1,9.5,69.9
11.9,58.8,13.0,65.8,12.8,84.6,11.8,63.0,12.9,60.5,13.7,62.1,13.7,59.8,12.8,65.0,13.8,66.6,12.4,82.4,13.4,82.9
16.1,106.3,17.2,100.9,17.3,101.0,15.9,109.2,17.1,109.1,18.0,93.8,17.9,111.2,16.9,116.9,17.9,120.2,16.6,125.0,17.4,119.4
18.7,126.5,19.5,123.1,19.7,138.6,18.4,125.7,18.7,125.5,19.9,118.2,19.4,120.9,19.0,118.9,19.1,145.5,19.1,141.4,18.9,149.4
16.4,123.8,17.2,136.7,17.4,131.1,15.5,119.6,15.0,128.6,17.3,117.9,16.0,130.8,15.8,121.4,15.0,141.8,16.5,134.9,15.1,157.2
10.8,114.6,11.3,129.7,11.2,100.4,9.4,118.0,8.8,142.0,11.5,117.5,9.7,137.8,9.6,106.4,8.4,155.8,10.3,127.7,8.5,145.2
3.6,94.4,3.8,121.4,3.6,98.4,2.2,110.6,1.9,130.6,4.0,106.5,2.7,116.6,2.4,101.9,1.5,152.8,3.0,124.1,1.7,157.1
-2.1,54.0,-2.1,112.9,-2.4,91.5,-3.5,91.2,-4.1,117.9,-1.8,72.6,-3.4,85.9,-3.8,83.3,-5.3,126.1,-3.1,101.8,-5.0,136.4
